TeamId,TeamName,SubmissionDate,Score
3713926,"Pro Miner","2019-09-27 18:43:35",0.85396
3713926,"Pro Miner","2019-09-27 19:06:56",0.87158
3709501,TerminatoR,"2019-09-27 22:31:48",0.96162
3714333,"Data Raiders","2019-09-27 22:42:21",0.90909
3714229,"The Data Minerz","2019-09-27 22:45:02",0.93455
3713621,"Team 0","2019-09-27 22:58:04",0.85997
3704375,"Team 7","2019-09-27 23:00:01",0.87015
3714352,Minecrafters,"2019-09-27 23:49:46",0.82864
3714352,Minecrafters,"2019-09-27 23:55:37",0.86547
3705427,"Gold Mining","2019-09-27 23:56:38",0.49186
3705427,"Gold Mining","2019-09-28 00:07:27",0.75211
3704712,Minerz,"2019-09-28 00:22:39",0.44697
3705427,"Gold Mining","2019-09-28 00:48:13",0.91682
3715116,"Lord of the Data","2019-09-28 01:23:08",0.90569
3713761,"Random Forest Gumps","2019-09-28 02:12:35",0.78575
3714333,"Data Raiders","2019-09-28 02:50:23",0.91010
3715372,Datum,"2019-09-28 03:39:12",0.85773
3715116,"Lord of the Data","2019-09-28 03:49:46",0.92048
3715333,"Data Pirates","2019-09-28 03:52:33",0.72390
3704712,Minerz,"2019-09-28 03:53:04",0.89419
3715268,"SAS with MAS","2019-09-28 04:11:08",0.82918
3715268,"SAS with MAS","2019-09-28 04:16:35",0.87914
3715372,Datum,"2019-09-28 07:28:38",0.89507
3715372,Datum,"2019-09-28 08:11:42",0.89898
3714352,Minecrafters,"2019-09-28 08:13:46",0.89348
3704712,Minerz,"2019-09-28 15:26:41",0.94310
3714352,Minecrafters,"2019-09-28 16:40:42",0.91457
3717039,SKS,"2019-09-28 16:55:01",0.85147
3705427,"Gold Mining","2019-09-28 17:21:13",0.93410
3715372,Datum,"2019-09-28 19:30:26",0.93626
3715268,"SAS with MAS","2019-09-28 19:48:01",0.96811
3717667,Sudo,"2019-09-28 20:20:13",0.80946
3704375,"Team 7","2019-09-28 20:35:00",0.92094
3717667,Sudo,"2019-09-28 20:49:44",0.90081
3704375,"Team 7","2019-09-28 20:54:06",0.93063
3714333,"Data Raiders","2019-09-28 21:14:52",0.96990
3717496,"Team Rocket","2019-09-28 21:22:24",0.91202
3709501,TerminatoR,"2019-09-28 21:24:13",0.96626
3717496,"Team Rocket","2019-09-28 21:47:50",0.91638
3704586,Minesweeper,"2019-09-28 22:27:12",0.87796
3709745,"Team 5","2019-09-28 22:30:51",0.85016
3713926,"Pro Miner","2019-09-28 22:34:20",0.88909
3709484,Samazon,"2019-09-28 22:36:11",0.84655
3709252,"Team 9","2019-09-28 22:37:27",0.73890
3717603,null,"2019-09-28 22:57:15",0.54820
3714352,Minecrafters,"2019-09-28 23:05:50",0.91802
3703951,"Data Drillers","2019-09-28 23:14:54",0.89139
3704712,Minerz,"2019-09-29 00:00:15",0.94434
3714229,"The Data Minerz","2019-09-29 00:13:40",0.94941
3704586,Minesweeper,"2019-09-29 00:15:37",0.93626
3713761,"Random Forest Gumps","2019-09-29 00:16:10",0.93065
3714229,"The Data Minerz","2019-09-29 00:32:41",0.95445
3709693,"Team 2","2019-09-29 00:55:43",0.89856
3704712,Minerz,"2019-09-29 01:06:03",0.96279
3709535,"Sukhi J","2019-09-29 01:34:19",0.92798
3717039,SKS,"2019-09-29 02:18:58",0.87568
3714669,ARK,"2019-09-29 03:03:21",0.97512
3708317,"The Miners","2019-09-29 04:14:26",0.85396
3715333,"Data Pirates","2019-09-29 04:22:33",0.90732
3715116,"Lord of the Data","2019-09-29 04:35:55",0.92233
3717667,Sudo,"2019-09-29 05:26:23",0.92828
3709492,"SASsy Data Miners","2019-09-29 05:58:17",0.46551
3709492,"SASsy Data Miners","2019-09-29 06:11:54",0.84921
3713761,"Random Forest Gumps","2019-09-29 07:25:25",0.94245
3709492,"SASsy Data Miners","2019-09-29 07:31:32",0.96521
3714352,Minecrafters,"2019-09-29 09:35:58",0.94010
3714352,Minecrafters,"2019-09-29 09:50:27",0.95323
3717733,RFG,"2019-09-29 10:32:30",0.94179
3717733,RFG,"2019-09-29 12:08:23",0.94960
3709257,Data4Breakfast,"2019-09-29 14:24:50",0.87421
3703951,"Data Drillers","2019-09-29 14:47:20",0.92911
3715333,"Data Pirates","2019-09-29 14:58:58",0.92422
3715333,"Data Pirates","2019-09-29 15:19:23",0.93206
3720285,hello_world,"2019-09-29 16:56:35",0.42843
3704375,"Team 7","2019-09-29 17:39:00",0.96842
3720285,hello_world,"2019-09-29 17:50:37",0.53665
3720426,Mocha,"2019-09-29 17:53:51",0.87294
3720285,hello_world,"2019-09-29 18:11:44",0.85423
3709488,"Juliet Zhang","2019-09-29 18:13:29",0.85961
3715117,Predict+,"2019-09-29 18:42:38",0.89315
3714443,"Team 3","2019-09-29 19:06:26",0.87683
3714443,"Team 3","2019-09-29 19:08:34",0.87866
3709484,Samazon,"2019-09-29 19:14:44",0.93368
3709745,"Team 5","2019-09-29 19:24:13",0.94608
3709890,RollRoll,"2019-09-29 19:43:46",0.83354
3709890,RollRoll,"2019-09-29 20:02:12",0.91202
3715117,Predict+,"2019-09-29 20:07:38",0.89430
3710241,Dataholics,"2019-09-29 20:07:45",0.88898
3720899,ARK2,"2019-09-29 20:10:19",0.63773
3715117,Predict+,"2019-09-29 20:12:43",0.89460
3710241,Dataholics,"2019-09-29 20:29:21",0.91804
3720899,ARK2,"2019-09-29 20:31:58",0.87504
3720899,ARK2,"2019-09-29 20:34:10",0.87568
3709257,Data4Breakfast,"2019-09-29 20:51:40",0.87545
3721010,\Djangounchained\,"2019-09-29 20:52:17",0.95827
3721010,\Djangounchained\,"2019-09-29 20:53:21",0.96961
3720426,Mocha,"2019-09-29 20:55:21",0.90006
3715268,"SAS with MAS","2019-09-29 20:56:26",0.97066
3713621,"Team 0","2019-09-29 21:09:25",0.95557
3714443,"Team 3","2019-09-29 21:16:04",0.88328
3713951,mgmt571,"2019-09-29 21:39:09",0.90763
3713621,"Team 0","2019-09-29 21:46:24",0.95946
3713951,mgmt571,"2019-09-29 21:49:55",0.91530
3721127,miner,"2019-09-29 21:52:45",0.90467
3721150,doityourself,"2019-09-29 22:02:54",0.94284
3708317,"The Miners","2019-09-29 22:03:13",0.94683
3721150,doityourself,"2019-09-29 22:10:20",0.94493
3721127,miner,"2019-09-29 22:10:58",0.90991
3721150,doityourself,"2019-09-29 22:18:25",0.94997
3715117,Predict+,"2019-09-29 22:43:01",0.95456
3703951,"Data Drillers","2019-09-29 22:58:05",0.93068
3714443,"Team 3","2019-09-29 23:04:30",0.93605
3709693,"Team 2","2019-09-29 23:08:40",0.89971
3721289,tubelight1,"2019-09-29 23:16:35",0.93612
3721289,tubelight1,"2019-09-29 23:26:14",0.93626
3710241,Dataholics,"2019-09-29 23:45:25",0.94528
3717496,"Team Rocket","2019-09-29 23:46:10",0.93722
3713926,"Pro Miner","2019-09-29 23:49:39",0.91507
3713926,"Pro Miner","2019-09-29 23:58:00",0.92937
3713621,"Team 0","2019-09-29 23:58:42",0.96957
3708317,"The Miners","2019-09-29 23:59:07",0.95152
3709693,"Team 2","2019-09-30 00:08:18",0.91064
3713926,"Pro Miner","2019-09-30 00:13:00",0.95942
3721150,doityourself,"2019-09-30 00:17:48",0.95869
3721150,doityourself,"2019-09-30 00:24:23",0.96464
3709492,"SASsy Data Miners","2019-09-30 00:54:19",0.96542
3717038,"Team 1","2019-09-30 01:13:34",0.96905
3717667,Sudo,"2019-09-30 01:44:05",0.92892
3714669,ARK,"2019-09-30 01:46:07",0.98082
3709890,RollRoll,"2019-09-30 02:29:05",0.92442
3705427,"Gold Mining","2019-09-30 02:36:18",0.97430
3709890,RollRoll,"2019-09-30 02:44:11",0.95855
3721814,nopes,"2019-09-30 03:19:23",0.84158
3709890,RollRoll,"2019-09-30 03:24:45",0.96624
3715372,Datum,"2019-09-30 03:31:06",0.94445
3713926,"Pro Miner","2019-09-30 03:33:01",0.96715
3704712,Minerz,"2019-09-30 03:44:14",0.96724
3721814,nopes,"2019-09-30 03:59:31",0.88027
3717667,Sudo,"2019-09-30 04:07:11",0.93225
3715372,Datum,"2019-09-30 04:34:04",0.95274
3704586,Minesweeper,"2019-09-30 04:38:57",0.95557
3715333,"Data Pirates","2019-09-30 04:42:01",0.93605
3721814,nopes,"2019-09-30 04:42:41",0.92674
3715372,Datum,"2019-09-30 04:54:28",0.95599
3709257,Data4Breakfast,"2019-09-30 05:39:02",0.96115
3715116,"Lord of the Data","2019-09-30 06:06:04",0.92850
3721814,nopes,"2019-09-30 06:07:14",0.93051
3714352,Minecrafters,"2019-09-30 06:40:02",0.95428
3714229,"The Data Minerz","2019-09-30 06:42:30",0.95675
3709745,"Team 5","2019-09-30 06:42:54",0.95297
3709257,Data4Breakfast,"2019-09-30 07:23:54",0.96985
3709693,"Team 2","2019-09-30 08:01:38",0.91804
3710241,Dataholics,"2019-09-30 15:36:57",0.97417
3715268,"SAS with MAS","2019-09-30 16:19:44",0.98097
3704375,"Team 7","2019-09-30 16:21:32",0.97317
3713761,"Random Forest Gumps","2019-09-30 17:33:41",0.96532
3720285,hello_world,"2019-09-30 18:07:34",0.96884
3713621,"Team 0","2019-09-30 18:18:46",0.97259
3720285,hello_world,"2019-09-30 18:27:49",0.97264
3703951,"Data Drillers","2019-09-30 18:41:51",0.97860
3705362,StealthMode,"2019-09-30 18:55:54",0.50000
3715268,"SAS with MAS","2019-09-30 19:07:00",0.98139
3709693,"Team 2","2019-09-30 20:05:10",0.91841
3705362,StealthMode,"2019-09-30 20:29:25",0.94041
3709252,"Team 9","2019-09-30 21:10:49",0.87498
3725545,github,"2019-09-30 21:25:59",0.91750
3725545,github,"2019-09-30 21:59:26",0.93736
3720426,Mocha,"2019-09-30 22:49:22",0.90261
3709693,"Team 2","2019-09-30 22:50:50",0.93461
3715333,"Data Pirates","2019-10-01 00:09:14",0.93736
